"DAVEW","Dave Inc. Warrants","United States","","83372","Finance","Finance: Consumer Services"
"DAWN","Day One Biopharmaceuticals Inc. Common Stock","United States","2021","1155808","Health Care","Biotechnology: Pharmaceutical Preparations"
"DBX","Dropbox Inc. Class A Common Stock","United States","2018","3202713","Technology","Computer Software: Prepackaged Software"
"DCGO","DocGo Inc. Common Stock","United States","2020","405181","Health Care","Medical/Nursing Services"
"DCOM","Dime Community Bancshares Inc. Common Stock","United States","","174363","Finance","Major Banks"
"DCOMG","Dime Community Bancshares Inc. 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034","United States","","215","Finance","Major Banks"
"DCOMP","Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A","United States","","4227","Finance","Major Banks"
"DCTH","Delcath Systems Inc. Common Stock","United States","","316419","Health Care","Medical/Dental Instruments"
"DDOG","Datadog Inc. Class A Common Stock","United States","2019","4029365","Technology","Computer Software: Prepackaged Software"
"DENN","Denny's Corporation Common Stock","United States","","617050","Consumer Discretionary","Restaurants"
"DERM","Journey Medical Corporation Common Stock","United States","2021","71022","Health Care","Biotechnology: Pharmaceutical Preparations"
"DFDV","DeFi Development Corp. Common Stock","United States","2023","2033748","Finance","Finance: Consumer Services"
"DFLI","Dragonfly Energy Holdings Corp. Common Stock (NV)","United States","2021","29532711","Miscellaneous","Industrial Machinery/Components"
"DFLIW","Dragonfly Energy Holdings Corp. Warrant","United States","2021","57660","Miscellaneous","Industrial Machinery/Components"
"DGICA","Donegal Group Inc. Class A Common Stock","United States","","100781","Finance","Property-Casualty Insurers"
"DGICB","Donegal Group Inc. Class B Common Stock","United States","1986","3486","Finance","Property-Casualty Insurers"
"DGII","Digi International Inc. Common Stock","United States","1989","154201","Telecommunications","Computer Communications Equipment"
"DGLY","Digital Ally Inc. Common Stock","United States","","213326","Technology","Radio And Television Broadcasting And Communications Equipment"
"DH","Definitive Healthcare Corp. Class A Common Stock","United States","2021","554533","Technology","Computer Software: Prepackaged Software"
"DHAI","DIH Holdings US Inc. Class A Common Stock","United States","2024","1034091","Health Care","Medical/Dental Instruments"
"DHAIW","DIH Holding US Inc. Warrants","United States","2024","9099","Health Care","Medical/Dental Instruments"
"DHC","Diversified Healthcare Trust Common Shares of Beneficial Interest","United States","","1510258","Real Estate","Real Estate Investment Trusts"
"DHCNI","Diversified Healthcare Trust 5.625% Senior Notes due 2042","United States","","2896","Real Estate","Real Estate Investment Trusts"
"DHCNL","Diversified Healthcare Trust 6.25% Senior Notes Due 2046","United States","","4850","Real Estate","Real Estate Investment Trusts"
"DHIL","Diamond Hill Investment Group Inc. Class A Common Stock","United States","","53874","Finance","Investment Managers"
"DIBS","1stdibs.com Inc. Common Stock","United States","2021","108766","Consumer Discretionary","Catalog/Specialty Distribution"
"DIOD","Diodes Incorporated Common Stock","United States","","400082","Technology","Semiconductors"
"DJCO","Daily Journal Corp. (S.C.) Common Stock","United States","","79887","Consumer Discretionary","Newspapers/Magazines"
"DJT","Trump Media & Technology Group Corp. Common Stock","United States","2024","6015227","Technology","Computer Software: Programming Data Processing"
"DJTWW","Trump Media & Technology Group Corp. Warrants","United States","2021","54171","Technology","Computer Software: Programming Data Processing"
"DKNG","DraftKings Inc. Class A Common Stock","United States","2019","10173529","Consumer Discretionary","Services-Misc. Amusement & Recreation"
"DLHC","DLH Holdings Corp.","United States","","64875","Consumer Discretionary","Professional Services"
"DLPN","Dolphin Entertainment Inc. Common Stock","United States","","57153","Consumer Discretionary","Other Consumer Services"
"DLTH","Duluth Holdings Inc. Class B Common Stock","United States","2015","101466","Consumer Discretionary","Clothing/Shoe/Accessory Stores"
"DLTR","Dollar Tree Inc. Common Stock","United States","1995","3000634","Consumer Discretionary","Department/Specialty Retail Stores"
"DMAA","Drugs Made In America Acquisition Corp. Ordinary Shares","United States","2025","1427","",""
"DMAAR","Drugs Made In America Acquisition Corp. Rights","United States","2025","263158","Finance","Blank Checks"
"DMAAU","Drugs Made In America Acquisition Corp. Units","United States","2025","649","",""
"DMAC","DiaMedica Therapeutics Inc. Common Stock","United States","2018","112709","Health Care","Biotechnology: Pharmaceutical Preparations"
"DMLP","Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests","United States","","260511","Energy","Oil & Gas Production"
"DMRC","Digimarc Corporation Common Stock","United States","","126352","Technology","EDP Services"
"DNLI","Denali Therapeutics Inc. Common Stock","United States","2017","1998468","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"DNTH","Dianthus Therapeutics Inc. Common Stock","United States","2018","272904","Health Care","Biotechnology: Pharmaceutical Preparations"
"DNUT","Krispy Kreme Inc. Common Stock","United States","2021","2647881","Consumer Staples","Food Chains"
"DOCU","DocuSign Inc. Common Stock","United States","1989","3326781","Technology","Computer Software: Prepackaged Software"
"DOMH","Dominari Holdings Inc. Common Stock","United States","","111471","Health Care","Biotechnology: Pharmaceutical Preparations"
"DOMO","Domo Inc. Class B Common Stock","United States","2018","564675","Technology","Computer Software: Prepackaged Software"
"DORM","Dorman Products Inc. Common Stock","United States","","141084","Consumer Discretionary","Auto Parts:O.E.M."
"DPZ","Domino's Pizza Inc Common Stock","United States","2004","852872","Consumer Discretionary","Food Distributors"
"DRCT","Direct Digital Holdings Inc. Class A Common Stock","United States","2022","175172","Consumer Discretionary","Advertising"
