"BYFC","Broadway Financial Corporation Class A Common Stock","United States","","796","Finance","Savings Institutions"
"BYND","Beyond Meat Inc. Common Stock","United States","2019","1106500","Consumer Staples","Packaged Foods"
"BYRN","Byrna Technologies Inc. Common Stock","United States","","403523","Miscellaneous","Industrial Machinery/Components"
"BYSI","BeyondSpring Inc. Ordinary Shares","United States","2017","106948","Health Care","Biotechnology: Pharmaceutical Preparations"
"BZAI","Blaize Holdings Inc. Common Stock","United States","2025","170134","Finance","Blank Checks"
"BZAIW","Blaize Holdings Inc. Warrants","United States","2025","6147","Finance","Blank Checks"
"BZFD","BuzzFeed Inc. Class A Common Stock","United States","2021","358166","Consumer Discretionary","Telecommunications Equipment"
"CABA","Cabaletta Bio Inc. Common Stock","United States","2019","4566448","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"CAC","Camden National Corporation Common Stock","United States","","68030","Finance","Major Banks"
"CACC","Credit Acceptance Corporation Common Stock","United States","1992","152390","Finance","Finance: Consumer Services"
"CADL","Candel Therapeutics Inc. Common Stock","United States","2021","726654","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"CAKE","Cheesecake Factory Incorporated (The) Common Stock","United States","1992","1993548","Consumer Discretionary","Restaurants"
"CALC","CalciMedica Inc. Common Stock","United States","2023","7837","Health Care","Biotechnology: Pharmaceutical Preparations"
"CALM","Cal-Maine Foods Inc. Common Stock","United States","1996","642562","Consumer Staples","Farming/Seeds/Milling"
"CAMP","CAMP4 Therapeutics Corporation Common Stock","United States","2024","86114","",""
"CAPN","Cayson Acquisition Corp Ordinary shares","United States","2024","9","",""
"CAPNR","Cayson Acquisition Corp Right","United States","2024","520","Finance","Blank Checks"
"CAPR","Capricor Therapeutics Inc. Common Stock","United States","","3116941","Health Care","Biotechnology: Pharmaceutical Preparations"
"CAPS","Capstone Holding Corp. Common Stock","United States","","34745","Health Care","Biotechnology: Pharmaceutical Preparations"
"CAR","Avis Budget Group Inc. Common Stock","United States","","963600","Consumer Discretionary","Rental/Leasing Companies"
"CARE","Carter Bankshares Inc. Common Stock","United States","","101266","Finance","Major Banks"
"CARG","CarGurus Inc. Class A Common Stock ","United States","2017","681251","Technology","EDP Services"
"CARM","Carisma Therapeutics Inc. Common Stock","United States","2014","12765054","Health Care","Biotechnology: Pharmaceutical Preparations"
"CART","Maplebear Inc. Common Stock","United States","2023","3407139","Consumer Discretionary","Business Services"
"CARV","Carver Bancorp Inc. Common Stock","United States","","14763","Finance","Savings Institutions"
"CASH","Pathward Financial Inc. Common Stock","United States","1993","143036","Finance","Major Banks"
"CASI","CASI Pharmaceuticals Inc. Ordinary Shares","United States","","3849396","Health Care","Biotechnology: Pharmaceutical Preparations"
"CASK","Heritage Distilling Holding Company Inc. Common Stock","United States","2024","271935","Consumer Staples","Beverages (Production/Distribution)"
"CASS","Cass Information Systems Inc Common Stock","United States","","51629","Consumer Discretionary","Business Services"
"CASY","Casey's General Stores Inc. Common Stock","United States","1983","457903","Consumer Discretionary","Retail-Auto Dealers and Gas Stations"
"CATY","Cathay General Bancorp Common Stock","United States","","563899","Finance","Major Banks"
"CBFV","CB Financial Services Inc. Common Stock","United States","","13529","Finance","Major Banks"
"CBLL","CeriBell Inc. Common Stock","United States","2024","424073","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"CBNK","Capital Bancorp Inc. Common Stock","United States","2018","62374","Finance","Major Banks"
"CBRL","Cracker Barrel Old Country Store Inc Common Stock","United States","1981","1245306","Consumer Discretionary","Restaurants"
"CBSH","Commerce Bancshares Inc. Common Stock","United States","","477567","Finance","Major Banks"
"CBUS","Cibus Inc. Class A Common Stock","United States","2017","708884","Industrials","Agricultural Chemicals"
"CCAP","Crescent Capital BDC Inc. Common stock","United States","","245448","Finance","Finance: Consumer Services"
"CCB","Coastal Financial Corporation Common Stock","United States","2018","90242","Finance","Major Banks"
"CCBG","Capital City Bank Group Common Stock","United States","","28029","Finance","Major Banks"
"CCCC","C4 Therapeutics Inc. Common Stock","United States","2020","1375044","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"CCCM","Columbus Circle Capital Corp I Class A Ordinary Shares","United States","2025","2164834","Finance","Blank Checks"
"CCCMU","Columbus Circle Capital Corp I Units","United States","2025","989905","Finance","Blank Checks"
"CCCMW","Columbus Circle Capital Corp I Warrant","United States","2025","1471812","Finance","Blank Checks"
"CCCS","CCC Intelligent Solutions Holdings Inc. Common Stock","United States","","7065551","Technology","Computer Software: Prepackaged Software"
"CCCXU","Churchill Capital Corp X Unit","United States","2025","11318","Finance","Blank Checks"
"CCD","Calamos Dynamic Convertible & Income Fund Common Stock","United States","","130503","Finance","Trusts Except Educational Religious and Charitable"
"CCIR","Cohen Circle Acquisition Corp. I Class A Ordinary Shares","United States","2024","1652681","",""
"CCIRU","Cohen Circle Acquisition Corp. I Unit","United States","2024","2227","Finance","Blank Checks"
"CCIRW","Cohen Circle Acquisition Corp. I Warrant","United States","2024","8831","Finance","Blank Checks"
