"SEZL","Sezzle Inc. Common Stock","United States","","1393368","Consumer Discretionary","Business Services"
"SFBC","Sound Financial Bancorp Inc. Common Stock","United States","","4895","Finance","Savings Institutions"
"SFD","Smithfield Foods Inc. Common Stock","United States","2025","400003","Consumer Staples","Meat/Poultry/Fish"
"SFIX","Stitch Fix Inc. Class A Common Stock","United States","2017","2724794","Consumer Discretionary","Catalog/Specialty Distribution"
"SFM","Sprouts Farmers Market Inc. Common Stock","United States","2013","1482778","Consumer Staples","Food Chains"
"SFNC","Simmons First National Corporation Class A Common Stock","United States","","660716","Finance","Major Banks"
"SFST","Southern First Bancshares Inc. Common Stock","United States","","13174","Finance","Major Banks"
"SGA","Saga Communications Inc. Class A Common Stock (FL)","United States","","3195","Consumer Discretionary","Broadcasting"
"SGBX","Safe & Green Holdings Corp. Common Stock","United States","2017","6821911","Consumer Discretionary","RETAIL: Building Materials"
"SGC","Superior Group of Companies Inc. Common Stock","United States","","44845","Consumer Discretionary","Apparel"
"SGD","Safe and Green Development Corporation Common Stock","United States","","65090","Finance","Real Estate"
"SGHT","Sight Sciences Inc. Common Stock","United States","2021","162841","Health Care","Medical/Dental Instruments"
"SGLY","Singularity Future Technology Ltd. Common Stock","United States","2008","37493","Consumer Discretionary","Oil Refining/Marketing"
"SGMA","SigmaTron International Inc. Common Stock","United States","1994","57556","Technology","Electrical Products"
"SGMO","Sangamo Therapeutics Inc. Common Stock","United States","2000","3468532","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"SGMT","Sagimet Biosciences Inc. Series A Common Stock","United States","2023","5318153","Health Care","Biotechnology: Pharmaceutical Preparations"
"SGRP","SPAR Group Inc. Common Stock","United States","","9476","Consumer Discretionary","Business Services"
"SGRY","Surgery Partners Inc. Common Stock","United States","2015","771397","Health Care","Hospital/Nursing Management"
"SHBI","Shore Bancshares Inc Common Stock","United States","","327517","Finance","Major Banks"
"SHC","Sotera Health Company Common Stock","United States","2020","1105108","Health Care","Misc Health and Biotechnology Services"
"SHEN","Shenandoah Telecommunications Co Common Stock","United States","","228710","Telecommunications","Telecommunications Equipment"
"SHFS","SHF Holdings Inc. Class A Common Stock","United States","2021","3144","Finance","Finance: Consumer Services"
"SHFSW","SHF Holdings Inc. Warrants","United States","2021","300","Finance","Finance: Consumer Services"
"SHIM","Shimmick Corporation Common Stock","United States","2023","3995","Industrials","Military/Government/Technical"
"SHLS","Shoals Technologies Group Inc. Class A Common Stock","United States","2021","6292345","Technology","Semiconductors"
"SHOO","Steven Madden Ltd. Common Stock","United States","1993","1394985","Consumer Discretionary","Shoe Manufacturing"
"SHOT","Safety Shot Inc. Common Stock","United States","2020","1649028","Consumer Discretionary","Package Goods/Cosmetics"
"SHOTW","Safety Shot Inc. Warrant","United States","2020","3602","Consumer Discretionary","Package Goods/Cosmetics"
"SHPH","Shuttle Pharmaceuticals Holdings Inc. Common Stock","United States","2022","4196805","Health Care","Biotechnology: Pharmaceutical Preparations"
"SHYF","The Shyft Group Inc. Common Stock","United States","","161789","Consumer Discretionary","Auto Manufacturing"
"SIBN","SI-BONE Inc. Common Stock","United States","2018","1592410","Health Care","Medical/Dental Instruments"
"SIDU","Sidus Space Inc. Class A Common Stock","United States","2021","290250","Telecommunications","Telecommunications Equipment"
"SIEB","Siebert Financial Corp. Common Stock","United States","","173080","Finance","Investment Bankers/Brokers/Service"
"SIGA","SIGA Technologies Inc. Common Stock","United States","","502961","Health Care","Biotechnology: Pharmaceutical Preparations"
"SIGI","Selective Insurance Group Inc. Common Stock","United States","","261026","Finance","Property-Casualty Insurers"
"SIGIP","Selective Insurance Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.60% Non-Cumulative Preferred Stock Series B","United States","","2419","Finance","Property-Casualty Insurers"
"SILO","Silo Pharma Inc. Common Stock","United States","","246207","Consumer Discretionary","Apparel"
"SIMA","SIM Acquisition Corp. I Class A Ordinary Shares","United States","2024","20","Miscellaneous","Industrial Machinery/Components"
"SIMAW","SIM Acquisition Corp. I Warrant","United States","2024","12907","Finance","Blank Checks"
"SINT","SiNtx Technologies Inc. Common Stock","United States","2014","113473","Health Care","Medical/Dental Instruments"
"SION","Sionna Therapeutics Inc. Common Stock","United States","2025","101012","Health Care","Biotechnology: Pharmaceutical Preparations"
"SIRI","SiriusXM Holdings Inc. Common Stock","United States","","3687588","Consumer Discretionary","Broadcasting"
"SITM","SiTime Corporation Common Stock","United States","2019","243835","Technology","Semiconductors"
"SKIN","The Beauty Health Company Class A Common Stock","United States","2020","662251","Health Care","Medical/Dental Instruments"
"SKWD","Skyward Specialty Insurance Group Inc. Common Stock","United States","2023","305900","Finance","Property-Casualty Insurers"
"SKYE","Skye Bioscience Inc. Common Stock","United States","","128685","Health Care","Biotechnology: Pharmaceutical Preparations"
"SKYQ","Sky Quarry Inc. Common Stock","United States","2024","433490","Industrials","Environmental Services"
"SKYT","SkyWater Technology Inc. Common Stock","United States","2021","616481","Technology","Semiconductors"
"SKYW","SkyWest Inc. Common Stock","United States","1986","253869","Consumer Discretionary","Air Freight/Delivery Services"
"SKYX","SKYX Platforms Corp. Common Stock","United States","2022","293957","Consumer Discretionary","Building Products"
