"PRLD","Prelude Therapeutics Incorporated Common Stock","United States","2020","71174","Health Care","Biotechnology: Pharmaceutical Preparations"
"PRME","Prime Medicine Inc. Common Stock","United States","2022","1174931","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"PROK","ProKidney Corp. Class A Ordinary Shares","United States","2021","297663","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"PROP","Prairie Operating Co. Common Stock","United States","","746005","Finance","Finance: Consumer Services"
"PROV","Provident Financial Holdings Inc. Common Stock","United States","","2264","Finance","Savings Institutions"
"PRPH","ProPhase Labs Inc. Common Stock (DE)","United States","","517857","Health Care","Biotechnology: Pharmaceutical Preparations"
"PRPL","Purple Innovation Inc. Common Stock","United States","2015","603880","Consumer Discretionary","Home Furnishings"
"PRPO","Precipio Inc.  Common Stock","United States","","5378","Industrials","Biotechnology: Laboratory Analytical Instruments"
"PRSO","Peraso Inc. Common Stock","United States","","130640","Technology","Semiconductors"
"PRTA","Prothena Corporation plc Ordinary Shares","United States","","806358","Health Care","Biotechnology: Pharmaceutical Preparations"
"PRTC","PureTech Health plc American Depositary Shares","United States","","34","Health Care","Biotechnology: Pharmaceutical Preparations"
"PRTH","Priority Technology Holdings Inc. Common Stock","United States","2016","812085","Consumer Discretionary","Business Services"
"PRTS","CarParts.com Inc. Common Stock","United States","2007","659437","Consumer Discretionary","Auto & Home Supply Stores"
"PRVA","Privia Health Group Inc. Common Stock","United States","2021","816118","Health Care","Medical/Nursing Services"
"PSEC","Prospect Capital Corporation Common Stock","United States","2004","2801564","Finance","Finance: Consumer Services"
"PSIX","Power Solutions International Inc. Common Stock","United States","","302099","Industrials","Industrial Machinery/Components"
"PSMT","PriceSmart Inc. Common Stock","United States","","201976","Consumer Discretionary","Department/Specialty Retail Stores"
"PSNL","Personalis Inc. Common Stock","United States","2019","1532651","Health Care","Medical Specialities"
"PSTV","PLUS THERAPEUTICS Inc. Common Stock ","United States","","1978176","Health Care","Medical/Dental Instruments"
"PTC","PTC Inc. Common Stock","United States","","1143604","Technology","Computer Software: Prepackaged Software"
"PTCT","PTC Therapeutics Inc. Common Stock","United States","2013","750739","Health Care","Biotechnology: Pharmaceutical Preparations"
"PTEN","Patterson-UTI Energy Inc. Common Stock","United States","1993","16459859","Energy","Oil & Gas Production"
"PTGX","Protagonist Therapeutics Inc. Common Stock","United States","2016","987548","Health Care","Biotechnology: Pharmaceutical Preparations"
"PTIX","Protagenic Therapeutics Inc. Common Stock","United States","","62232","Health Care","Biotechnology: Pharmaceutical Preparations"
"PTIXW","Protagenic Therapeutics Inc. Warrant","United States","","100","Health Care","Biotechnology: Pharmaceutical Preparations"
"PTLO","Portillo's Inc. Class A Common Stock","United States","2021","1669283","Consumer Discretionary","Restaurants"
"PTMN","Portman Ridge Finance Corporation Common Stock","United States","2006","17660","Finance","Finance: Consumer Services"
"PTON","Peloton Interactive Inc. Class A Common Stock","United States","2019","14307871","Consumer Discretionary","Recreational Games/Products/Toys"
"PUBM","PubMatic Inc. Class A Common Stock","United States","2020","379462","Technology","Computer Software: Programming Data Processing"
"PULM","Pulmatrix Inc. Common Stock","United States","2014","16489","Health Care","Biotechnology: Pharmaceutical Preparations"
"PVBC","Provident Bancorp Inc. (MD) Common Stock","United States","2015","193084","Finance","Banks"
"PVLA","Palvella Therapeutics Inc. Common Stock","United States","","223837","Health Care","Biotechnology: Pharmaceutical Preparations"
"PWOD","Penns Woods Bancorp Inc. Common Stock","United States","","12192","Finance","Major Banks"
"PWP","Perella Weinberg Partners Class A Common Stock","United States","2020","872863","Finance","Finance: Consumer Services"
"PXLW","Pixelworks Inc.  Common Stock","United States","2000","36540","Technology","Semiconductors"
"PYPL","PayPal Holdings Inc. Common Stock","United States","","16744374","Consumer Discretionary","Business Services"
"PYXS","Pyxis Oncology Inc. Common Stock","United States","2021","347445","Health Care","Biotechnology: Pharmaceutical Preparations"
"PZZA","Papa John's International Inc. Common Stock","United States","1993","1079120","Consumer Discretionary","Restaurants"
"QCOM","QUALCOMM Incorporated Common Stock","United States","1991","8446444","Technology","Radio And Television Broadcasting And Communications Equipment"
"QCRH","QCR Holdings Inc. Common Stock","United States","","89212","Finance","Major Banks"
"QDEL","QuidelOrtho Corporation Common Stock","United States","","927958","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"QETA","Quetta Acquisition Corporation Common Stock","United States","2023","4","Finance","Blank Checks"
"QETAR","Quetta Acquisition Corporation Right","United States","2023","2092","Finance","Blank Checks"
"QETAU","Quetta Acquisition Corporation Unit","United States","2023","349","Finance","Blank Checks"
"QIPT","Quipt Home Medical Corp. Common Shares","United States","","227644","Health Care","Misc Health and Biotechnology Services"
"QLGN","Qualigen Therapeutics Inc. Common Stock","United States","2015","6381","Health Care","Biotechnology: Pharmaceutical Preparations"
"QLYS","Qualys Inc. Common Stock","United States","2012","291224","Technology","Computer Software: Prepackaged Software"
"QMCO","Quantum Corporation Common Stock","United States","","1224026","Technology","Electronic Components"
"QNCX","Quince Therapeutics Inc. Common Stock","United States","2019","656349","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"QNST","QuinStreet Inc. Common Stock","United States","2010","370406","Consumer Discretionary","Business Services"
