"RMSG","Real Messenger Corporation Ordinary Shares","United States","","9155","Technology","Computer Software: Programming Data Processing"
"RMSGW","Real Messenger Corporation Warrants","United States","","120112","Technology","Computer Software: Programming Data Processing"
"RMTI","Rockwell Medical Inc. Common Stock","United States","1998","229816","Health Care","Biotechnology: Pharmaceutical Preparations"
"RNA","Avidity Biosciences Inc. Common Stock","United States","2020","968139","Health Care","Biotechnology: Pharmaceutical Preparations"
"RNAC","Cartesian Therapeutics Inc. Common Stock","United States","2016","45405","Health Care","Biotechnology: Pharmaceutical Preparations"
"RNAZ","TransCode Therapeutics Inc. Common Stock","United States","2021","40314","Health Care","Biotechnology: Pharmaceutical Preparations"
"RNTX","Rein Therapeutics Inc. Common Stock","United States","2017","83422","Health Care","Biotechnology: Pharmaceutical Preparations"
"RNXT","RenovoRx Inc. Common Stock","United States","2021","139133","Health Care","Biotechnology: Pharmaceutical Preparations"
"ROAD","Construction Partners Inc. Class A Common Stock","United States","2018","365374","Industrials","Military/Government/Technical"
"ROCK","Gibraltar Industries Inc. Common Stock","United States","1993","178083","Industrials","Steel/Iron Ore"
"ROKU","Roku Inc. Class A Common Stock","United States","2017","3220836","Telecommunications","Cable & Other Pay Television Services"
"ROOT","Root Inc. Class A Common Stock","United States","2020","488191","Finance","Property-Casualty Insurers"
"ROP","Roper Technologies Inc. Common Stock","United States","1992","436801","Industrials","Industrial Machinery/Components"
"ROST","Ross Stores Inc. Common Stock","United States","1985","2996954","Consumer Discretionary","Clothing/Shoe/Accessory Stores"
"RPAY","Repay Holdings Corporation Class A Common Stock","United States","2018","2056246","Consumer Discretionary","Business Services"
"RPD","Rapid7 Inc. Common Stock","United States","2015","803012","Technology","Computer Software: Prepackaged Software"
"RPID","Rapid Micro Biosystems Inc. Class A Common Stock","United States","2021","87105","Industrials","Biotechnology: Laboratory Analytical Instruments"
"RPRX","Royalty Pharma plc Class A Ordinary Shares ","United States","2020","3525043","Health Care","Biotechnology: Pharmaceutical Preparations"
"RR","Richtech Robotics Inc. Class B Common Stock","United States","2023","9223819","Industrials","Industrial Machinery/Components"
"RRBI","Red River Bancshares Inc. Common Stock","United States","2019","25840","Consumer Discretionary","Hotels/Resorts"
"RRGB","Red Robin Gourmet Burgers Inc. Common Stock","United States","2002","745689","Consumer Discretionary","Restaurants"
"RRR","Red Rock Resorts Inc. Class A Common Stock","United States","2016","585985","Consumer Discretionary","Hotels/Resorts"
"RSLS","ReShape Lifesciences Inc. Common Stock","United States","2016","1238791","Health Care","Medical/Dental Instruments"
"RSSS","Research Solutions Inc Common Stock","United States","","79905","Consumer Discretionary","Business Services"
"RSVR","Reservoir Media Inc. Common Stock","United States","2021","67241","Consumer Discretionary","Services-Misc. Amusement & Recreation"
"RSVRW","Reservoir Media Inc. Warrant","United States","2021","1000","Consumer Discretionary","Services-Misc. Amusement & Recreation"
"RTAC","Renatus Tactical Acquisition Corp I Class A Ordinary Shares","United States","2025","536364","Finance","Blank Checks"
"RTACU","Renatus Tactical Acquisition Corp I Unit","United States","2025","1090444","Finance","Blank Checks"
"RTACW","Renatus Tactical Acquisition Corp I Warrant","United States","2025","719615","Finance","Blank Checks"
"RUM","Rumble Inc. Class A Common Stock","United States","2021","2219781","Technology","Computer Software: Programming Data Processing"
"RUMBW","Rumble Inc. Warrant","United States","2021","21120","Technology","Computer Software: Programming Data Processing"
"RUN","Sunrun Inc. Common Stock","United States","2015","42841200","Miscellaneous","Industrial Machinery/Components"
"RUSHA","Rush Enterprises Inc. Common Stock Cl A","United States","","259444","Consumer Discretionary","Retail-Auto Dealers and Gas Stations"
"RUSHB","Rush Enterprises Inc. Class B","United States","","102698","Consumer Discretionary","Retail-Auto Dealers and Gas Stations"
"RVMD","Revolution Medicines Inc. Common Stock","United States","2020","1114941","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"RVMDW","Revolution Medicines Inc. Warrant","United States","","2719","",""
"RVPH","Reviva Pharmaceuticals Holdings Inc. Common Stock ","United States","2020","773164","Health Care","Biotechnology: Pharmaceutical Preparations"
"RVPHW","Reviva Pharmaceuticals Holdings Inc. Warrants","United States","2018","599","Health Care","Biotechnology: Pharmaceutical Preparations"
"RVSB","Riverview Bancorp Inc Common Stock","United States","","91882","Finance","Savings Institutions"
"RVYL","Ryvyl Inc. Common Stock","United States","","987007","Consumer Discretionary","Professional Services"
"RWAY","Runway Growth Finance Corp. Common Stock","United States","2021","185737","Finance","Finance: Consumer Services"
"RWAYL","Runway Growth Finance Corp. 7.50% Notes due 2027","United States","","3989","Finance","Finance: Consumer Services"
"RWAYZ","Runway Growth Finance Corp. 8.00% Notes due 2027","United States","","1095","Finance","Finance: Consumer Services"
"RXRX","Recursion Pharmaceuticals Inc. Class A Common Stock","United States","2021","37528442","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"RXST","RxSight Inc. Common Stock","United States","2021","555220","Health Care","Ophthalmic Goods"
"RXT","Rackspace Technology Inc. Common Stock","United States","2020","1726843","Technology","Computer Software: Programming Data Processing"
"RYTM","Rhythm Pharmaceuticals Inc. Common Stock","United States","2017","541190","Health Care","Biotechnology: Pharmaceutical Preparations"
"RZLT","Rezolute Inc. Common Stock (NV)","United States","","345033","Health Care","Biotechnology: Pharmaceutical Preparations"
"SABR","Sabre Corporation Common Stock","United States","2014","8684284","Technology","Computer Software: Programming Data Processing"
"SABS","SAB Biotherapeutics Inc. Common Stock","United States","2021","54620","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
