"OSIS","OSI Systems Inc. Common Stock (DE)","United States","1997","247457","Technology","Semiconductors"
"OSPN","OneSpan Inc. Common Stock","United States","","324346","Technology","EDP Services"
"OSRH","OSR Holdings Inc. Common Stock","United States","2023","99949","Health Care","Medical/Dental Instruments"
"OSRHW","OSR Holdings Inc. Warrant","United States","2023","3134","Health Care","Medical/Dental Instruments"
"OSS","One Stop Systems Inc. Common Stock","United States","2018","882121","Technology","Computer Manufacturing"
"OSUR","OraSure Technologies Inc. Common Stock","United States","","840685","Health Care","Medical/Dental Instruments"
"OTLK","Outlook Therapeutics Inc. Common Stock","United States","2016","302642","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"OTRK","Ontrak Inc. Common Stock","United States","","7166","Health Care","Misc Health and Biotechnology Services"
"OTTR","Otter Tail Corporation Common Stock","United States","","161576","Utilities","Electric Utilities: Central"
"OUST","Ouster Inc. Common Stock","United States","","3886916","Industrials","Industrial Machinery/Components"
"OUSTW","Ouster Inc. Warrants","United States","","107252","Industrials","Industrial Machinery/Components"
"OUSTZ","Ouster Inc. Warrants","United States","","160342","Industrials","Industrial Machinery/Components"
"OVBC","Ohio Valley Banc Corp. Common Stock","United States","","7504","Finance","Major Banks"
"OVID","Ovid Therapeutics Inc. Common Stock","United States","2017","1108901","Health Care","Biotechnology: Pharmaceutical Preparations"
"OVLY","Oak Valley Bancorp (CA) Common Stock","United States","","15369","Finance","Major Banks"
"OXLC","Oxford Lane Capital Corp. Common Stock","United States","2011","6434309","Finance","Investment Managers"
"OXLCG","Oxford Lane Capital Corp. 7.95% Notes due 2032","United States","","10237","Finance","Investment Managers"
"OXLCI","Oxford Lane Capital Corp. 8.75% Notes due 2030","United States","","10150","",""
"OXLCL","Oxford Lane Capital Corp. 6.75% Notes due 2031","United States","","216","Finance","Finance Companies"
"OXLCN","Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock","United States","","1339","Finance","Investment Managers"
"OXLCO","Oxford Lane Capital Corp. Preferred Stock Shares 6.00% Series 2029","United States","","1007","Finance","Investment Managers"
"OXLCP","Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares","United States","","2473","Finance","Investment Managers"
"OXLCZ","Oxford Lane Capital Corp. 5.00% Notes due 2027","United States","","4751","Finance","Finance Companies"
"OXSQ","Oxford Square Capital Corp. Common Stock","United States","2003","651653","Finance","Blank Checks"
"OXSQG","Oxford Square Capital Corp. 5.50% Notes due 2028","United States","","139","Consumer Discretionary","Other Consumer Services"
"OXSQZ","Oxford Square Capital Corp. 6.25% Notes due 2026","United States","","775","Finance","Blank Checks"
"OYSEU","Oyster Enterprises II Acquisition Corp Units","United States","2025","6424","",""
"OZK","Bank OZK Common Stock","United States","","600808","Finance","Major Banks"
"OZKAP","Bank OZK 4.625% Series A Non-Cumulative Perpetual Preferred Stock","United States","","12560","Finance","Major Banks"
"PAA","Plains All American Pipeline L.P. Common Units representing Limited Partner Interests","United States","1998","4009608","Energy","Natural Gas Distribution"
"PACB","Pacific Biosciences of California Inc. Common Stock","United States","2010","7314558","Industrials","Biotechnology: Laboratory Analytical Instruments"
"PAGP","Plains GP Holdings L.P. Class A Units representing Limited Partner Interests","United States","","1918734","Energy","Natural Gas Distribution"
"PAHC","Phibro Animal Health Corporation Class A Common Stock","United States","2014","152026","Health Care","Biotechnology: Pharmaceutical Preparations"
"PAL","Proficient Auto Logistics Inc. Common Stock","United States","2024","150321","Consumer Discretionary","Transportation Services"
"PALI","Palisade Bio Inc. Common Stock","United States","","307969","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"PAMT","PAMT CORP Common Stock","United States","","14093","Industrials","Trucking Freight/Courier Services"
"PANL","Pangaea Logistics Solutions Ltd. Common Shares","United States","2013","194946","Consumer Discretionary","Marine Transportation"
"PANW","Palo Alto Networks Inc. Common Stock","United States","","3818451","Technology","Computer peripheral equipment"
"PARA","Paramount Global Class B Common Stock","United States","","5725198","Industrials","Broadcasting"
"PARAA","Paramount Global Class A Common Stock","United States","","5386","Industrials","Broadcasting"
"PASG","Passage Bio Inc. Common Stock","United States","2020","130283","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"PATK","Patrick Industries Inc. Common Stock","United States","","410179","Consumer Discretionary","Auto Parts:O.E.M."
"PAVM","PAVmed Inc. Common Stock","United States","2016","156264","Health Care","Medical/Dental Instruments"
"PAYO","Payoneer Global Inc. Common Stock","United States","","2497239","Consumer Discretionary","Business Services"
"PAYS","Paysign Inc. Common Stock","United States","","411691","Consumer Discretionary","Business Services"
"PAYX","Paychex Inc. Common Stock","United States","1983","2525656","Consumer Discretionary","Diversified Commercial Services"
"PBBK","PB Bankshares Inc. Common Stock","United States","2021","663","Finance","Banks"
"PBFS","Pioneer Bancorp Inc. Common Stock","United States","2019","268491","Finance","Banks"
"PBHC","Pathfinder Bancorp Inc. Common Stock (MD)","United States","","1591","Finance","Major Banks"
"PBPB","Potbelly Corporation Common Stock","United States","2013","136044","Consumer Discretionary","Restaurants"
