"KPLTW","Katapult Holdings Inc. Warrant","United States","2019","112748","Consumer Discretionary","Diversified Commercial Services"
"KPRX","Kiora Pharmaceuticals Inc.  Common Stock","United States","","36444","Health Care","Biotechnology: Pharmaceutical Preparations"
"KPTI","Karyopharm Therapeutics Inc. Common Stock","United States","2013","33244","Health Care","Biotechnology: Pharmaceutical Preparations"
"KRMD","KORU Medical Systems Inc. Common Stock (DE)","United States","","85725","Health Care","Medical/Dental Instruments"
"KRNY","Kearny Financial Corp Common Stock","United States","2005","402126","Finance","Savings Institutions"
"KRON","Kronos Bio Inc. Common Stock","United States","2020","347765","Health Care","Biotechnology: Pharmaceutical Preparations"
"KROS","Keros Therapeutics Inc. Common Stock","United States","2020","377915","Health Care","Biotechnology: Pharmaceutical Preparations"
"KRRO","Korro Bio Inc. Common Stock","United States","2019","66471","Health Care","Biotechnology: Pharmaceutical Preparations"
"KRT","Karat Packaging Inc. Common Stock","United States","2021","239170","Industrials","Plastic Products"
"KRUS","Kura Sushi USA Inc. Class A Common Stock","United States","2019","333106","Consumer Discretionary","Restaurants"
"KRYS","Krystal Biotech Inc. Common Stock","United States","2017","295184","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"KSCP","Knightscope Inc. Class A Common Stock","United States","2022","159702","Telecommunications","Telecommunications Equipment"
"KTCC","Key Tronic Corporation Common Stock","United States","1983","20510","Technology","Electrical Products"
"KTOS","Kratos Defense & Security Solutions Inc. Common Stock","United States","","2786659","Industrials","Military/Government/Technical"
"KTTA","Pasithea Therapeutics Corp. Common Stock","United States","2021","291696","Health Care","Biotechnology: Pharmaceutical Preparations"
"KTTAW","Pasithea Therapeutics Corp. Warrant","United States","2021","7205","Health Care","Biotechnology: Pharmaceutical Preparations"
"KURA","Kura Oncology Inc. Common Stock","United States","","1120544","Health Care","Biotechnology: Pharmaceutical Preparations"
"KVAC","Keen Vision Acquisition Corporation Ordinary Shares","United States","2023","6742","",""
"KVHI","KVH Industries Inc. Common Stock","United States","1996","10353","Technology","Radio And Television Broadcasting And Communications Equipment"
"KYMR","Kymera Therapeutics Inc. Common Stock","United States","2020","470122","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"KYTX","Kyverna Therapeutics Inc. Common Stock","United States","2024","288522","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"KZR","Kezar Life Sciences Inc. Common Stock","United States","2018","36941","Health Care","Biotechnology: Pharmaceutical Preparations"
"LAB","Standard BioTools Inc. Common Stock","United States","2011","921713","Industrials","Biotechnology: Laboratory Analytical Instruments"
"LAKE","Lakeland Industries Inc. Common Stock","United States","1986","279842","Health Care","Industrial Specialties"
"LAMR","Lamar Advertising Company Class A Common Stock","United States","1996","359057","Real Estate","Real Estate Investment Trusts"
"LANC","Lancaster Colony Corporation Common Stock","United States","","137812","Consumer Staples","Packaged Foods"
"LAND","Gladstone Land Corporation Common Stock","United States","1993","208832","Real Estate","Real Estate Investment Trusts"
"LANDM","Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock","United States","","1665","Real Estate","Real Estate Investment Trusts"
"LANDO","Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock","United States","","13781","Real Estate","Real Estate Investment Trusts"
"LANDP","Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock","United States","","17457","Real Estate","Real Estate Investment Trusts"
"LARK","Landmark Bancorp Inc. Common Stock","United States","","14194","Finance","Major Banks"
"LASE","Laser Photonics Corporation Common Stock","United States","2022","59593","Miscellaneous","Industrial Machinery/Components"
"LASR","nLIGHT Inc. Common Stock","United States","2018","666014","Technology","Semiconductors"
"LAUR","Laureate Education Inc. Common Stock","United States","2017","678416","Real Estate","Other Consumer Services"
"LAZR","Luminar Technologies Inc.  Class A Common Stock","United States","2019","2476842","Consumer Discretionary","Auto Parts:O.E.M."
"LBRDA","Liberty Broadband Corporation Class A Common Stock","United States","","109987","Telecommunications","Cable & Other Pay Television Services"
"LBRDK","Liberty Broadband Corporation Class C Common Stock","United States","","1789294","Telecommunications","Cable & Other Pay Television Services"
"LBRDP","Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock","United States","","7477","Telecommunications","Cable & Other Pay Television Services"
"LCCCU","Lakeshore Acquisition III Corp. Unit","United States","2025","1206","Finance","Blank Checks"
"LCID","Lucid Group Inc. Common Stock","United States","","102930833","Consumer Discretionary","Auto Manufacturing"
"LCNB","LCNB Corporation Common Stock","United States","","14882","Finance","Major Banks"
"LCUT","Lifetime Brands Inc. Common Stock","United States","1991","50932","Consumer Discretionary","Industrial Machinery/Components"
"LDTC","LeddarTech Holdings Inc. Common Shares","United States","2021","1568873","Technology","Computer Software: Prepackaged Software"
"LDTCW","LeddarTech Holdings Inc. Warrants","United States","2021","158195","Technology","Computer Software: Prepackaged Software"
"LDWY","Lendway Inc. Common Stock (DE)","United States","","2090","Consumer Staples","Farming/Seeds/Milling"
"LE","Lands' End Inc. Common Stock","United States","","753145","Consumer Discretionary","Clothing/Shoe/Accessory Stores"
"LECO","Lincoln Electric Holdings Inc. Common Shares","United States","","447965","Industrials","Industrial Machinery/Components"
"LEE","Lee Enterprises Incorporated Common Stock","United States","","13529","Consumer Discretionary","Newspapers/Magazines"
"LEGH","Legacy Housing Corporation Common Stock (TX)","United States","2018","86045","Consumer Discretionary","Homebuilding"
"LEGN","Legend Biotech Corporation American Depositary Shares","United States","2020","1554784","Health Care","Biotechnology: Pharmaceutical Preparations"
