"FCEL","FuelCell Energy Inc. Common Stock","United States","","867751","Energy","Industrial Machinery/Components"
"FCFS","FirstCash Holdings Inc. Common Stock","United States","1991","268965","Consumer Discretionary","Other Specialty Stores"
"FCNCA","First Citizens BancShares Inc. Class A Common Stock","United States","","70915","Finance","Major Banks"
"FCNCO","First Citizens BancShares Inc. 5.625% Non-Cumulative Perpetual Preferred Stock Series C","United States","","18059","Finance","Major Banks"
"FCNCP","First Citizens BancShares Inc. Depositary Shares","United States","","28366","Finance","Major Banks"
"FCUV","Focus Universal Inc. Common Stock","United States","","16046","Industrials","Industrial Machinery/Components"
"FDBC","Fidelity D & D Bancorp Inc. Common Stock","United States","","5664","Finance","Major Banks"
"FDMT","4D Molecular Therapeutics Inc. Common Stock","United States","2020","487002","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"FDSB","Fifth District Bancorp Inc. Common Stock","United States","2024","7228","Finance","Savings Institutions"
"FDUS","Fidus Investment Corporation Common Stock","United States","2011","206777","Finance","Finance/Investors Services"
"FEAM","5E Advanced Materials Inc. Common Stock","United States","","3029","Industrials","Mining & Quarrying of Nonmetallic Minerals (No Fuels)"
"FEIM","Frequency Electronics Inc. Common Stock","United States","","79715","Industrials","Electrical Products"
"FELE","Franklin Electric Co. Inc. Common Stock","United States","","275029","Consumer Discretionary","Metal Fabrications"
"FEMY","Femasys Inc. Common Stock","United States","2021","314490","Health Care","Medical/Dental Instruments"
"FENC","Fennec Pharmaceuticals Inc. Common Stock","United States","","65055","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"FFAI","Faraday Future Intelligent Electric Inc. Class A Common Stock","United States","2020","9910849","Consumer Discretionary","Auto Manufacturing"
"FFAIW","Faraday Future Intelligent Electric Inc. Warrant","United States","2020","75009","Consumer Discretionary","Auto Manufacturing"
"FFBC","First Financial Bancorp. Common Stock","United States","","373802","Finance","Major Banks"
"FFIC","Flushing Financial Corporation Common Stock","United States","","222644","Finance","Major Banks"
"FFIN","First Financial Bankshares Inc. Common Stock","United States","","484928","Finance","Major Banks"
"FFIV","F5 Inc. Common Stock","United States","1999","253474","Telecommunications","Computer Communications Equipment"
"FGBI","First Guaranty Bancshares Inc. Common Stock","United States","","21924","Finance","Savings Institutions"
"FGBIP","First Guaranty Bancshares Inc. 6.75% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock","United States","","1002","Finance","Savings Institutions"
"FGEN","FibroGen Inc Common Stock","United States","2014","3903481","Health Care","Biotechnology: Pharmaceutical Preparations"
"FGF","Fundamental Global Inc. Common Stock ","United States","2014","2022","Finance","Property-Casualty Insurers"
"FGFPP","Fundamental Global Inc. 8.00% Cumulative Preferred Stock","United States","","342","Finance","Property-Casualty Insurers"
"FGI","FGI Industries Ltd. Ordinary Shares","United States","2022","88875","Industrials","Industrial Specialties"
"FGIWW","FGI Industries Ltd. Warrant","United States","2022","9226","Industrials","Industrial Specialties"
"FGMC","FG Merger II Corp. Common stock","United States","2025","16995","",""
"FGMCU","FG Merger II Corp. Unit","United States","2025","6134","",""
"FHB","First Hawaiian Inc. Common Stock","United States","2016","1370472","Finance","Major Banks"
"FHTX","Foghorn Therapeutics Inc. Common Stock","United States","2020","67543","Health Care","Biotechnology: Pharmaceutical Preparations"
"FIBK","First Interstate BancSystem Inc. Common Stock (DE)","United States","2010","670687","Finance","Major Banks"
"FINW","FinWise Bancorp Common Stock","United States","2021","19441","Finance","Major Banks"
"FIP","FTAI Infrastructure Inc. Common Stock ","United States","","1002874","Energy","Oil Refining/Marketing"
"FISI","Financial Institutions Inc. Common Stock","United States","1999","158484","Finance","Major Banks"
"FITB","Fifth Third Bancorp Common Stock","United States","","3076952","Finance","Major Banks"
"FITBI","Fifth Third Bancorp Depositary Shares","United States","","20649","Finance","Major Banks"
"FITBO","Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K","United States","","39339","Finance","Major Banks"
"FITBP","Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A","United States","","17479","Finance","Major Banks"
"FIVE","Five Below Inc. Common Stock","United States","2012","1342028","Consumer Discretionary","Department/Specialty Retail Stores"
"FIVN","Five9 Inc. Common Stock","United States","2014","1181212","Technology","EDP Services"
"FIZZ","National Beverage Corp. Common Stock","United States","","99737","Consumer Staples","Beverages (Production/Distribution)"
"FKWL","Franklin Wireless Corp. Common Stock","United States","","38634","Utilities","Telecommunications Equipment"
"FLD","Fold Holdings Inc. Class A Common Stock","United States","2025","149450","Finance","Finance: Consumer Services"
"FLDDW","Fold Holdings Inc. Warrant","United States","2025","12953","Finance","Finance: Consumer Services"
"FLGT","Fulgent Genetics Inc. Common Stock","United States","2016","197962","Health Care","Medical Specialities"
"FLL","Full House Resorts Inc. Common Stock","United States","","186017","Consumer Discretionary","Hotels/Resorts"
"FLNC","Fluence Energy Inc. Class A Common Stock","United States","2021","4021422","Miscellaneous","Industrial Machinery/Components"
"FLNT","Fluent Inc. Common Stock","United States","","10314","Consumer Discretionary","Advertising"
