"WHLRL","Wheeler Real Estate Investment Trust Inc. 7.00% Senior Subordinated Convertible Notes Due 2031","United States","","105","Real Estate","Real Estate Investment Trusts"
"WHLRP","Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock","United States","","9137","Real Estate","Real Estate Investment Trusts"
"WHWK","Whitehawk Therapeutics Inc. Common Stock","United States","","80675","Health Care","Biotechnology: Pharmaceutical Preparations"
"WINA","Winmark Corporation Common Stock","United States","","178520","Consumer Discretionary","Other Specialty Stores"
"WING","Wingstop Inc. Common Stock","United States","2015","1202232","Consumer Discretionary","Restaurants"
"WINT","Windtree Therapeutics Inc. Common Stock","United States","","1048181","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"WKHS","Workhorse Group Inc. Common Stock","United States","","222734","Consumer Discretionary","Auto Manufacturing"
"WLAC","Willow Lane Acquisition Corp. Class A Ordinary Shares","United States","2024","101","",""
"WLACW","Willow Lane Acquisition Corp. Warrants","United States","2024","1183","",""
"WLDN","Willdan Group Inc. Common Stock","United States","2006","138507","Consumer Discretionary","Military/Government/Technical"
"WLFC","Willis Lease Finance Corporation Common Stock","United States","1996","88631","Consumer Discretionary","Industrial Specialties"
"WMG","Warner Music Group Corp. Class A Common Stock","United States","2020","1612390","Consumer Discretionary","Services-Misc. Amusement & Recreation"
"WNEB","Western New England Bancorp Inc. Common Stock","United States","","43805","Finance","Savings Institutions"
"WOOF","Petco Health and Wellness Company Inc. Class A Common Stock","United States","2021","5482820","Consumer Discretionary","Other Specialty Stores"
"WORX","SCWorx Corp. Common Stock","United States","2016","562921","Consumer Discretionary","Services-Misc. Amusement & Recreation"
"WRAP","Wrap Technologies Inc. Common Stock","United States","","227477","Industrials","Ordnance And Accessories"
"WRLD","World Acceptance Corporation Common Stock","United States","1991","49116","Finance","Finance: Consumer Services"
"WSBC","WesBanco Inc. Common Stock","United States","","381600","Finance","Major Banks"
"WSBCP","WesBanco Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 6.75% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A","United States","","1241","Finance","Major Banks"
"WSBF","Waterstone Financial Inc. Common Stock (MD)","United States","2005","44049","Finance","Savings Institutions"
"WSBK","Winchester Bancorp Inc. Common Stock","United States","2025","2817","",""
"WSC","WillScot Holdings Corporation Class A Common Stock","United States","2015","1072083","Industrials","Misc Corporate Leasing Services"
"WSFS","WSFS Financial Corporation Common Stock","United States","","537543","Finance","Major Banks"
"WTBA","West Bancorporation Common Stock","United States","","27475","Finance","Major Banks"
"WTFC","Wintrust Financial Corporation Common Stock","United States","","317367","Finance","Major Banks"
"WTFCM","Wintrust Financial Corporation Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D","United States","","14389","Finance","Major Banks"
"WTFCN","Wintrust Financial Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred StocK","United States","","55207","Finance","Major Banks"
"WTFCP","Wintrust Financial Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series E","United States","","25741","Finance","Major Banks"
"WULF","TeraWulf Inc. Common Stock","United States","","41394173","Technology","EDP Services"
"WVVI","Willamette Valley Vineyards Inc. Common Stock","United States","","4386","Consumer Staples","Beverages (Production/Distribution)"
"WVVIP","Willamette Valley Vineyards Inc. Series A Redeemable Preferred Stock","United States","","761","Consumer Staples","Beverages (Production/Distribution)"
"WWD","Woodward Inc. Common Stock","United States","","486375","Energy","Industrial Machinery/Components"
"WYNN","Wynn Resorts Limited Common stock","United States","2002","2025090","Consumer Discretionary","Hotels/Resorts"
"XAGE","Longevity Health Holdings Inc. Common Stock","United States","2021","23813","Health Care","Medical/Dental Instruments"
"XAGEW","Longevity Health Holdings Inc. Warrant","United States","2021","2217","Health Care","Medical/Dental Instruments"
"XAIR","Beyond Air Inc. Common Stock","United States","","1299026","Health Care","Medical/Dental Instruments"
"XBIO","Xenetic Biosciences Inc. Common Stock","United States","","7835","Health Care","Biotechnology: Pharmaceutical Preparations"
"XBIT","XBiotech Inc. Common Stock","United States","2015","73201","Health Care","Biotechnology: Pharmaceutical Preparations"
"XBP","XBP Europe Holdings Inc. Common Stock","United States","2021","22237","Consumer Discretionary","Business Services"
"XCUR","Exicure Inc. Common Stock","United States","","2922","Health Care","Biotechnology: Pharmaceutical Preparations"
"XEL","Xcel Energy Inc. Common Stock","United States","","2861377","Utilities","Power Generation"
"XELB","Xcel Brands Inc. Common Stock","United States","","10184","Miscellaneous","Multi-Sector Companies"
"XERS","Xeris Biopharma Holdings Inc. Common Stock","United States","2018","1777101","Health Care","Biotechnology: Pharmaceutical Preparations"
"XFOR","X4 Pharmaceuticals Inc. Common Stock","United States","2017","271666","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"XGN","Exagen Inc. Common Stock","United States","2019","379038","Health Care","Medical Specialities"
"XHLD","TEN Holdings Inc. Common Stock","United States","2025","574347","Consumer Discretionary","Business Services"
"XLO","Xilio Therapeutics Inc. Common Stock","United States","2021","390503","Health Care","Biotechnology: Pharmaceutical Preparations"
"XMTR","Xometry Inc. Class A Common Stock","United States","2021","729343","Consumer Discretionary","Business Services"
"XNCR","Xencor Inc. Common Stock","United States","2013","421639","Health Care","Biotechnology: Pharmaceutical Preparations"
"XOMA","XOMA Royalty Corporation Common Stock","United States","1986","35900","Health Care","Biotechnology: Pharmaceutical Preparations"
