"QQQX","Nuveen NASDAQ 100 Dynamic Overwrite Fund Shares of Beneficial Interest","United States","","184468","Finance","Finance Companies"
"QRHC","Quest Resource Holding Corporation Common Stock","United States","","190723","Utilities","Environmental Services"
"QRVO","Qorvo Inc. Common Stock","United States","","1492274","Technology","Semiconductors"
"QSEA","Quartzsea Acquisition Corporation Ordinary Shares","United States","2025","4364","Finance","Blank Checks"
"QSEAR","Quartzsea Acquisition Corporation Rights","United States","2025","222254","Finance","Blank Checks"
"QSEAU","Quartzsea Acquisition Corporation Units","United States","2025","1000","Finance","Blank Checks"
"QSI","Quantum-Si Incorporated Class A Common Stock","United States","2020","8253180","Industrials","Industrial Machinery/Components"
"QSIAW","Quantum-Si Incorporated Warrant","United States","2020","8279","Industrials","Industrial Machinery/Components"
"QTRX","Quanterix Corporation Common Stock","United States","2017","569745","Industrials","Biotechnology: Laboratory Analytical Instruments"
"QTTB","Q32 Bio Inc. Common Stock","United States","2018","154641","Health Care","Biotechnology: Pharmaceutical Preparations"
"QUBT","Quantum Computing Inc. Common Stock","United States","","21509270","Technology","Computer Software: Prepackaged Software"
"QUIK","QuickLogic Corporation Common Stock","United States","1999","100087","Technology","Semiconductors"
"QVCGA","QVC Group Inc. Series A Common Stock","United States","","70867","Consumer Discretionary","Catalog/Specialty Distribution"
"QVCGP","QVC Group Inc. 8.0% Fixed Rate Cumulative Redeemable Preferred Stock","United States","","124062","Consumer Discretionary","Catalog/Specialty Distribution"
"RAAQ","Real Asset Acquisition Corp. Class A Ordinary Share","United States","2025","122037","",""
"RAAQU","Real Asset Acquisition Corp. Unit","United States","2025","288","Finance","Blank Checks"
"RAAQW","Real Asset Acquisition Corp. Warrants","United States","2025","37200","",""
"RAIL","FreightCar America Inc. Common Stock","United States","2005","222966","Industrials","Railroads"
"RAIN","Rain Enhancement Technologies Holdco Inc. Class A Common Stock","United States","","3605","Technology","Industrial Machinery/Components"
"RAND","Rand Capital Corporation Common Stock","United States","","3528","Finance","Finance: Consumer Services"
"RANGR","Range Capital Acquisition Corp. Rights","United States","2025","149","",""
"RANI","Rani Therapeutics Holdings Inc. Class A Common Stock","United States","2021","307009","Health Care","Biotechnology: Pharmaceutical Preparations"
"RAPP","Rapport Therapeutics Inc. Common Stock","United States","2024","101124","Health Care","Biotechnology: Pharmaceutical Preparations"
"RAPT","RAPT Therapeutics Inc. Common Stock","United States","2019","618165","Health Care","Biotechnology: Pharmaceutical Preparations"
"RARE","Ultragenyx Pharmaceutical Inc. Common Stock","United States","2014","1094008","Health Care","Biotechnology: Pharmaceutical Preparations"
"RAVE","Rave Restaurant Group Inc. Common Stock","United States","","14166","Consumer Discretionary","Food Distributors"
"RBB","RBB Bancorp Common Stock","United States","2017","45295","Finance","Major Banks"
"RBBN","Ribbon Communications Inc. Common Stock","United States","","468822","Technology","EDP Services"
"RBCAA","Republic Bancorp Inc. Class A Common Stock","United States","1998","101310","Finance","Major Banks"
"RBKB","Rhinebeck Bancorp Inc. Common Stock","United States","2019","24263","Finance","Banks"
"RCAT","Red Cat Holdings Inc. Common Stock","United States","","13014009","Technology","Computer Software: Prepackaged Software"
"RCEL","Avita Medical Inc. Common Stock","United States","","568330","Health Care","Medical/Dental Instruments"
"RCKT","Rocket Pharmaceuticals Inc. Common Stock","United States","2015","3108155","Health Care","Biotechnology: Pharmaceutical Preparations"
"RCKTW","Rocket Pharmaceuticals Inc. Warrant","United States","","9271","Health Care","Biotechnology: Pharmaceutical Preparations"
"RCKY","Rocky Brands Inc. Common Stock","United States","1993","57387","Consumer Discretionary","Shoe Manufacturing"
"RCMT","RCM Technologies Inc. Common Stock","United States","","28337","Consumer Discretionary","Professional Services"
"RDAGU","Republic Digital Acquisition Company Unit","United States","2025","102999","Finance","Blank Checks"
"RDFN","Redfin Corporation Common Stock","United States","2017","3693894","Finance","Real Estate"
"RDI","Reading International Inc Class A Common Stock","United States","","30380","Consumer Discretionary","Movies/Entertainment"
"RDIB","Reading International Inc Class B Common Stock","United States","","23759","Consumer Discretionary","Movies/Entertainment"
"RDNT","RadNet Inc. Common Stock","United States","","705671","Health Care","Medical Specialities"
"RDUS","Radius Recycling Inc. Class A Common Stock","United States","","680138","Consumer Discretionary","Industrial Specialties"
"RDVT","Red Violet Inc. Common Stock ","United States","","104209","Technology","Computer Software: Prepackaged Software"
"RDZN","Roadzen Inc. Ordinary Shares","United States","2022","465722","Finance","Specialty Insurers"
"RDZNW","Roadzen Inc. Warrants","United States","2022","1320","Finance","Specialty Insurers"
"REAL","The RealReal Inc. Common Stock","United States","2019","3491822","Consumer Discretionary","Other Specialty Stores"
"REBN","Reborn Coffee Inc. Common Stock","United States","2022","48808","Consumer Discretionary","Restaurants"
"REFI","Chicago Atlantic Real Estate Finance Inc. Common Stock","United States","2021","81882","Real Estate","Real Estate Investment Trusts"
"REFR","Research Frontiers Incorporated Common Stock","United States","","22412","Miscellaneous","Multi-Sector Companies"
"REG","Regency Centers Corporation Common Stock","United States","1993","1452037","Real Estate","Real Estate Investment Trusts"
